sdss_name,u_url,g_url,r_url,i_url,z_url
301_4858_1_672,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4858/1/frame-u-004858-1-0672.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4858/1/frame-g-004858-1-0672.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4858/1/frame-r-004858-1-0672.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4858/1/frame-i-004858-1-0672.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4858/1/frame-z-004858-1-0672.fits.bz2
301_1755_3_671,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/1755/3/frame-u-001755-3-0671.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/1755/3/frame-g-001755-3-0671.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/1755/3/frame-r-001755-3-0671.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/1755/3/frame-i-001755-3-0671.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/1755/3/frame-z-001755-3-0671.fits.bz2
301_4381_2_93,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4381/2/frame-u-004381-2-0093.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4381/2/frame-g-004381-2-0093.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4381/2/frame-r-004381-2-0093.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4381/2/frame-i-004381-2-0093.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4381/2/frame-z-004381-2-0093.fits.bz2
301_3384_5_555,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3384/5/frame-u-003384-5-0555.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3384/5/frame-g-003384-5-0555.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3384/5/frame-r-003384-5-0555.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3384/5/frame-i-003384-5-0555.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3384/5/frame-z-003384-5-0555.fits.bz2
301_3631_1_301,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3631/1/frame-u-003631-1-0301.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3631/1/frame-g-003631-1-0301.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3631/1/frame-r-003631-1-0301.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3631/1/frame-i-003631-1-0301.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3631/1/frame-z-003631-1-0301.fits.bz2
301_4797_3_33,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4797/3/frame-u-004797-3-0033.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4797/3/frame-g-004797-3-0033.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4797/3/frame-r-004797-3-0033.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4797/3/frame-i-004797-3-0033.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4797/3/frame-z-004797-3-0033.fits.bz2
301_3384_5_442,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3384/5/frame-u-003384-5-0442.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3384/5/frame-g-003384-5-0442.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3384/5/frame-r-003384-5-0442.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3384/5/frame-i-003384-5-0442.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3384/5/frame-z-003384-5-0442.fits.bz2
301_2141_2_293,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/2141/2/frame-u-002141-2-0293.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/2141/2/frame-g-002141-2-0293.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/2141/2/frame-r-002141-2-0293.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/2141/2/frame-i-002141-2-0293.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/2141/2/frame-z-002141-2-0293.fits.bz2
301_1729_5_308,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/1729/5/frame-u-001729-5-0308.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/1729/5/frame-g-001729-5-0308.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/1729/5/frame-r-001729-5-0308.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/1729/5/frame-i-001729-5-0308.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/1729/5/frame-z-001729-5-0308.fits.bz2
301_1659_5_68,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/1659/5/frame-u-001659-5-0068.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/1659/5/frame-g-001659-5-0068.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/1659/5/frame-r-001659-5-0068.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/1659/5/frame-i-001659-5-0068.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/1659/5/frame-z-001659-5-0068.fits.bz2
